#{"t_start": 1753683669.8854523, "env_id": "None"}
r,l,t
2.0,1,1.021426
2.0,1,1.021613
1.0,1,1.02178
5.0,1,1.021943
2.0,1,1.022562
0.0,1,1.022759
5.0,1,1.022926
1.0,1,1.023122
1.0,1,1.023684
6.0,1,1.023866
2.0,1,1.024032
2.0,1,1.024235
-11.0,1,1.024803
-10.0,1,1.024989
5.0,1,1.025193
2.0,1,1.025367
5.0,1,1.025918
-10.0,1,1.026135
2.0,1,1.026312
-10.0,1,1.026475
3.0,1,1.027023
2.0,1,1.027236
5.0,1,1.027411
-11.0,1,1.027575
5.0,1,1.02813
0.0,1,1.028319
2.0,1,1.028486
2.0,1,1.028649
1.0,1,1.029226
6.0,1,1.029418
3.0,1,1.029584
4.0,1,1.029752
-12.0,1,1.030342
-10.0,1,1.030532
6.0,1,1.0307
-10.0,1,1.030863
5.0,1,1.031455
7.0,1,1.031644
2.0,1,1.031811
5.0,1,1.031973
1.0,1,1.032562
0.0,1,1.032756
2.0,1,1.032924
5.0,1,1.033122
0.0,1,1.033695
5.0,1,1.033881
1.0,1,1.03405
-12.0,1,1.034263
3.0,1,1.034822
10.0,1,1.035007
1.0,1,1.035216
2.0,1,1.03539
-11.0,1,1.035949
10.0,1,1.036165
2.0,1,1.03634
7.0,1,1.036508
10.0,1,1.037092
4.0,1,1.03729
7.0,1,1.037459
7.0,1,1.037624
4.0,1,1.038214
4.0,1,1.038413
5.0,1,1.038583
10.0,1,1.038747
-10.0,1,1.039342
2.0,1,1.039536
-10.0,1,1.039705
1.0,1,1.03987
-10.0,1,1.04046
2.0,1,1.040652
2.0,1,1.040821
1.0,1,1.040983
1.0,1,1.041581
10.0,1,1.041768
3.0,1,1.041937
2.0,1,1.042137
4.0,1,1.042709
5.0,1,1.042893
1.0,1,1.043096
5.0,1,1.043274
-10.0,1,1.043832
5.0,1,1.044016
6.0,1,1.044222
2.0,1,1.044392
-10.0,1,1.044946
1.0,1,1.045162
1.0,1,1.045338
1.0,1,1.045499
1.0,1,1.04605
1.0,1,1.046273
10.0,1,1.046446
-11.0,1,1.046612
2.0,1,1.047194
2.0,1,1.047383
-11.0,1,1.047552
10.0,1,1.047715
5.0,1,1.048275
-12.0,1,1.048468
2.0,1,1.04864
4.0,1,1.048806
1.0,1,1.049395
5.0,1,1.049586
6.0,1,1.049755
3.0,1,1.049921
6.0,1,1.050515
4.0,1,1.050705
4.0,1,1.050874
7.0,1,1.051041
0.0,1,1.051656
5.0,1,1.051844
4.0,1,1.052021
3.0,1,1.052223
4.0,1,1.052785
-11.0,1,1.05297
1.0,1,1.053181
2.0,1,1.053356
5.0,1,1.053914
3.0,1,1.054129
1.0,1,1.054307
-10.0,1,1.054481
4.0,1,1.055027
6.0,1,1.055241
5.0,1,1.055429
-10.0,1,1.055596
3.0,1,1.056161
7.0,1,1.056352
2.0,1,1.056521
5.0,1,1.056684
5.0,1,1.057252
3.0,1,1.057438
5.0,1,1.057605
2.0,1,1.057774
-10.0,1,1.058357
2.0,1,1.058544
3.0,1,1.058712
5.0,1,1.058876
6.0,1,1.059461
3.0,1,1.059651
5.0,1,1.059827
2.0,1,1.05999
-8.0,1,1.060572
1.0,1,1.060761
2.0,1,1.06093
10.0,1,1.061127
-11.0,1,1.06169
4.0,1,1.061874
5.0,1,1.062042
5.0,1,1.06225
1.0,1,1.06281
6.0,1,1.062989
5.0,1,1.063193
2.0,1,1.063371
7.0,1,1.063916
5.0,1,1.064141
1.0,1,1.064317
-10.0,1,1.064479
3.0,1,1.065024
2.0,1,1.065235
-10.0,1,1.065408
3.0,1,1.065574
3.0,1,1.06614
2.0,1,1.066329
5.0,1,1.066495
6.0,1,1.066665
5.0,1,1.067234
-10.0,1,1.067423
3.0,1,1.06759
1.0,1,1.067754
4.0,1,1.06833
5.0,1,1.068521
-11.0,1,1.068691
10.0,1,1.068856
5.0,1,1.069442
4.0,1,1.069631
6.0,1,1.069798
2.0,1,1.06996
5.0,1,1.070535
2.0,1,1.070723
2.0,1,1.070897
5.0,1,1.071096
1.0,1,1.071659
4.0,1,1.071841
7.0,1,1.072009
10.0,1,1.072214
-10.0,1,1.072768
3.0,1,1.072952
-10.0,1,1.073155
5.0,1,1.073329
1.0,1,1.073872
-10.0,1,1.074093
7.0,1,1.074275
5.0,1,1.07445
1.0,1,1.074991
3.0,1,1.075212
-11.0,1,1.075388
-10.0,1,1.075555
7.0,1,1.076129
5.0,1,1.076322
-12.0,1,1.076491
2.0,1,1.076654
4.0,1,1.077225
-11.0,1,1.077412
2.0,1,1.077579
5.0,1,1.077743
5.0,1,1.078319
4.0,1,1.07851
6.0,1,1.078677
3.0,1,1.078843
7.0,1,1.079422
-10.0,1,1.079613
5.0,1,1.079781
0.0,1,1.079947
6.0,1,1.080529
5.0,1,1.080718
10.0,1,1.080886
-10.0,1,1.08105
3.0,1,1.081644
4.0,1,1.081826
-10.0,1,1.081991
3.0,1,1.082194
3.0,1,1.082752
5.0,1,1.082933
0.0,1,1.083133
-11.0,1,1.08331
2.0,1,1.083854
2.0,1,1.084037
5.0,1,1.084252
3.0,1,1.084421
-11.0,1,1.084988
5.0,1,1.085205
3.0,1,1.08538
2.0,1,1.085556
1.0,1,1.08612
2.0,1,1.086308
0.0,1,1.08648
5.0,1,1.086649
1.0,1,1.087218
5.0,1,1.087408
3.0,1,1.087577
10.0,1,1.087743
-10.0,1,1.088322
2.0,1,1.088511
-10.0,1,1.088678
-10.0,1,1.088841
0.0,1,1.089415
6.0,1,1.089604
1.0,1,1.089774
4.0,1,1.089947
4.0,1,1.090527
5.0,1,1.090713
3.0,1,1.090879
2.0,1,1.091043
5.0,1,1.091634
4.0,1,1.09182
-8.0,1,1.091986
-11.0,1,1.092187
5.0,1,1.092746
2.0,1,1.092932
0.0,1,1.093136
5.0,1,1.093314
5.0,1,1.093864
3.0,1,1.094049
3.0,1,1.094274
1.0,1,1.094438
2.0,1,1.094989
0.0,1,1.09521
0.0,1,1.095392
3.0,1,1.095559
5.0,1,1.096132
5.0,1,1.096324
6.0,1,1.096492
-10.0,1,1.096656
10.0,1,1.097222
0.0,1,1.097411
-11.0,1,1.097579
-11.0,1,1.097744
4.0,1,1.098334
3.0,1,1.098521
3.0,1,1.098689
0.0,1,1.098853
0.0,1,1.099427
3.0,1,1.099616
3.0,1,1.099783
10.0,1,1.099947
7.0,1,1.10054
-10.0,1,1.100727
5.0,1,1.100894
-10.0,1,1.101116
2.0,1,1.101681
1.0,1,1.101865
4.0,1,1.102033
1.0,1,1.102238
5.0,1,1.102797
5.0,1,1.102981
-10.0,1,1.103183
2.0,1,1.103356
5.0,1,1.103901
6.0,1,1.104117
3.0,1,1.104305
1.0,1,1.104472
1.0,1,1.105015
-10.0,1,1.10523
-10.0,1,1.105418
-10.0,1,1.105593
1.0,1,1.106156
-11.0,1,1.106343
5.0,1,1.10651
2.0,1,1.106673
-11.0,1,1.107245
2.0,1,1.107434
2.0,1,1.107603
2.0,1,1.107767
2.0,1,1.108346
4.0,1,1.108539
5.0,1,1.108708
10.0,1,1.108875
4.0,1,1.109458
2.0,1,1.109648
4.0,1,1.109818
1.0,1,1.109985
-10.0,1,1.11058
1.0,1,1.110767
2.0,1,1.110934
6.0,1,1.111135
4.0,1,1.111695
6.0,1,1.111879
2.0,1,1.112047
6.0,1,1.112256
0.0,1,1.112802
2.0,1,1.112986
5.0,1,1.113189
3.0,1,1.113363
5.0,1,1.11391
2.0,1,1.114125
2.0,1,1.1143
6.0,1,1.114476
2.0,1,1.115018
5.0,1,1.115232
5.0,1,1.115407
-10.0,1,1.115571
-11.0,1,1.116137
0.0,1,1.116328
-10.0,1,1.116498
-10.0,1,1.116678
2.0,1,1.117258
2.0,1,1.117453
5.0,1,1.117623
4.0,1,1.11779
1.0,1,1.118367
2.0,1,1.118557
-10.0,1,1.118726
3.0,1,1.118892
3.0,1,1.119484
1.0,1,1.119671
-10.0,1,1.119878
1.0,1,1.120051
3.0,1,1.120654
7.0,1,1.120842
5.0,1,1.121044
-8.0,1,1.12127
1.0,1,1.121831
0.0,1,1.122016
3.0,1,1.122224
7.0,1,1.122399
1.0,1,1.122951
3.0,1,1.123165
0.0,1,1.123342
3.0,1,1.123507
1.0,1,1.124097
1.0,1,1.124302
4.0,1,1.124472
4.0,1,1.124637
1.0,1,1.125206
10.0,1,1.125394
2.0,1,1.125561
1.0,1,1.125726
6.0,1,1.126287
4.0,1,1.126479
3.0,1,1.126647
5.0,1,1.12681
0.0,1,1.127395
5.0,1,1.127588
-10.0,1,1.127759
2.0,1,1.127923
10.0,1,1.128525
1.0,1,1.128715
5.0,1,1.128883
-11.0,1,1.129049
1.0,1,1.129648
2.0,1,1.129835
1.0,1,1.130005
4.0,1,1.13021
3.0,1,1.130779
5.0,1,1.130968
2.0,1,1.131174
10.0,1,1.131348
1.0,1,1.131908
2.0,1,1.132126
7.0,1,1.132314
3.0,1,1.132491
5.0,1,1.133047
2.0,1,1.133266
3.0,1,1.133437
2.0,1,1.133605
7.0,1,1.134187
7.0,1,1.13439
10.0,1,1.134559
5.0,1,1.134724
5.0,1,1.135303
3.0,1,1.135491
-12.0,1,1.135659
2.0,1,1.135824
5.0,1,1.136398
1.0,1,1.136595
0.0,1,1.136764
2.0,1,1.136929
2.0,1,1.137514
-10.0,1,1.137704
5.0,1,1.137873
-10.0,1,1.138039
4.0,1,1.138634
-10.0,1,1.138828
5.0,1,1.138999
1.0,1,1.139203
1.0,1,1.139775
6.0,1,1.139964
-10.0,1,1.140171
5.0,1,1.140347
5.0,1,1.140911
-10.0,1,1.141128
1.0,1,1.141307
5.0,1,1.141472
-12.0,1,1.142029
4.0,1,1.142254
5.0,1,1.142432
1.0,1,1.142597
4.0,1,1.143184
4.0,1,1.143374
1.0,1,1.143544
5.0,1,1.143712
5.0,1,1.144281
3.0,1,1.144485
-11.0,1,1.144653
5.0,1,1.144819
5.0,1,1.145402
3.0,1,1.145594
7.0,1,1.145766
5.0,1,1.145934
5.0,1,1.14654
1.0,1,1.146736
3.0,1,1.146907
1.0,1,1.147107
3.0,1,1.147682
7.0,1,1.147869
2.0,1,1.148049
5.0,1,1.148262
-10.0,1,1.148825
2.0,1,1.149012
5.0,1,1.149222
2.0,1,1.149396
5.0,1,1.149955
2.0,1,1.150204
1.0,1,1.150389
4.0,1,1.150557
7.0,1,1.151143
2.0,1,1.151333
-10.0,1,1.151502
3.0,1,1.151668
5.0,1,1.152277
4.0,1,1.152468
2.0,1,1.152642
-10.0,1,1.152815
10.0,1,1.153402
10.0,1,1.153592
7.0,1,1.153758
5.0,1,1.153922
1.0,1,1.154514
1.0,1,1.154703
-10.0,1,1.154871
2.0,1,1.155036
-10.0,1,1.155626
5.0,1,1.155812
2.0,1,1.155978
4.0,1,1.156181
5.0,1,1.156742
4.0,1,1.156926
3.0,1,1.157126
7.0,1,1.157304
4.0,1,1.15785
5.0,1,1.158033
1.0,1,1.15824
3.0,1,1.158419
3.0,1,1.158972
4.0,1,1.159188
-8.0,1,1.159364
-11.0,1,1.15953
2.0,1,1.160099
-11.0,1,1.160289
3.0,1,1.160456
5.0,1,1.16062
10.0,1,1.161193
1.0,1,1.161386
3.0,1,1.161553
5.0,1,1.161715
3.0,1,1.162274
3.0,1,1.162463
1.0,1,1.16263
-11.0,1,1.162795
4.0,1,1.163364
5.0,1,1.163553
-10.0,1,1.163719
3.0,1,1.163882
1.0,1,1.164505
4.0,1,1.164695
1.0,1,1.164863
4.0,1,1.165038
5.0,1,1.16563
3.0,1,1.165816
-11.0,1,1.165992
-10.0,1,1.166195
1.0,1,1.166749
1.0,1,1.16693
5.0,1,1.167134
-10.0,1,1.167312
4.0,1,1.167865
2.0,1,1.168047
7.0,1,1.168259
1.0,1,1.168425
5.0,1,1.168982
-10.0,1,1.169201
-10.0,1,1.169375
1.0,1,1.16954
6.0,1,1.170127
2.0,1,1.170316
3.0,1,1.170485
3.0,1,1.170649
2.0,1,1.171223
-10.0,1,1.171412
6.0,1,1.171588
6.0,1,1.171752
2.0,1,1.172328
2.0,1,1.172518
2.0,1,1.172684
5.0,1,1.172847
2.0,1,1.173431
1.0,1,1.173619
2.0,1,1.173786
3.0,1,1.17395
4.0,1,1.174538
-10.0,1,1.174727
-10.0,1,1.174898
0.0,1,1.175096
4.0,1,1.175664
1.0,1,1.175848
6.0,1,1.176019
-12.0,1,1.176224
2.0,1,1.17679
7.0,1,1.176977
1.0,1,1.177183
3.0,1,1.177366
4.0,1,1.177912
5.0,1,1.178134
4.0,1,1.178314
5.0,1,1.178478
2.0,1,1.179024
4.0,1,1.17925
-10.0,1,1.179423
2.0,1,1.179588
0.0,1,1.180168
5.0,1,1.180365
2.0,1,1.180537
5.0,1,1.180702
10.0,1,1.181265
7.0,1,1.181466
-10.0,1,1.181635
4.0,1,1.181798
4.0,1,1.182378
1.0,1,1.182568
5.0,1,1.182736
4.0,1,1.182905
1.0,1,1.183482
7.0,1,1.183671
3.0,1,1.183839
6.0,1,1.184004
4.0,1,1.184604
7.0,1,1.184794
5.0,1,1.184964
1.0,1,1.185164
2.0,1,1.185725
2.0,1,1.185908
5.0,1,1.186108
2.0,1,1.186286
4.0,1,1.186833
2.0,1,1.187015
5.0,1,1.187217
5.0,1,1.187387
4.0,1,1.18793
6.0,1,1.188143
0.0,1,1.188319
5.0,1,1.188485
5.0,1,1.189033
2.0,1,1.189245
5.0,1,1.189418
4.0,1,1.18958
2.0,1,1.190138
-10.0,1,1.190326
-10.0,1,1.190492
2.0,1,1.190655
4.0,1,1.191223
5.0,1,1.191417
0.0,1,1.191582
6.0,1,1.191757
-10.0,1,1.192333
-11.0,1,1.192567
-10.0,1,1.192744
2.0,1,1.192908
3.0,1,1.193485
1.0,1,1.193677
5.0,1,1.193845
5.0,1,1.194009
3.0,1,1.194591
5.0,1,1.194783
2.0,1,1.19495
4.0,1,1.19515
5.0,1,1.195724
0.0,1,1.195907
2.0,1,1.196108
5.0,1,1.196285
-11.0,1,1.196834
-11.0,1,1.197016
5.0,1,1.197224
5.0,1,1.197396
3.0,1,1.197942
-10.0,1,1.198157
-11.0,1,1.198334
1.0,1,1.1985
-10.0,1,1.199046
10.0,1,1.199265
-12.0,1,1.199433
4.0,1,1.199596
2.0,1,1.20017
-10.0,1,1.200357
4.0,1,1.200524
-12.0,1,1.200689
5.0,1,1.201254
6.0,1,1.20144
-10.0,1,1.201608
7.0,1,1.201771
-10.0,1,1.202351
5.0,1,1.202538
-10.0,1,1.202704
-11.0,1,1.202867
6.0,1,1.203444
3.0,1,1.203628
4.0,1,1.203792
5.0,1,1.203954
1.0,1,1.204544
-10.0,1,1.204731
-10.0,1,1.204898
2.0,1,1.205091
0.0,1,1.205662
5.0,1,1.205885
-11.0,1,1.206135
2.0,1,1.206333
4.0,1,1.206899
5.0,1,1.207115
4.0,1,1.207293
5.0,1,1.207458
3.0,1,1.208012
2.0,1,1.208225
4.0,1,1.208398
2.0,1,1.208561
5.0,1,1.209132
5.0,1,1.209322
4.0,1,1.209489
1.0,1,1.209662
-10.0,1,1.210246
7.0,1,1.210435
1.0,1,1.210605
0.0,1,1.21077
5.0,1,1.211373
2.0,1,1.211563
6.0,1,1.211731
5.0,1,1.211898
10.0,1,1.212475
3.0,1,1.212665
3.0,1,1.212833
1.0,1,1.212997
4.0,1,1.213585
5.0,1,1.213771
-10.0,1,1.213936
1.0,1,1.214137
3.0,1,1.214693
0.0,1,1.214877
5.0,1,1.215044
4.0,1,1.215252
1.0,1,1.215807
5.0,1,1.215988
1.0,1,1.216191
4.0,1,1.216363
6.0,1,1.216909
4.0,1,1.217122
6.0,1,1.217307
7.0,1,1.217472
4.0,1,1.21802
5.0,1,1.21823
6.0,1,1.218404
7.0,1,1.218567
2.0,1,1.219132
-10.0,1,1.21932
-12.0,1,1.219488
1.0,1,1.219652
-10.0,1,1.22022
1.0,1,1.220408
2.0,1,1.220576
-10.0,1,1.220739
5.0,1,1.221309
4.0,1,1.221499
10.0,1,1.221666
1.0,1,1.221828
2.0,1,1.222428
5.0,1,1.222661
2.0,1,1.222877
0.0,1,1.223122
3.0,1,1.223745
5.0,1,1.223931
0.0,1,1.224134
4.0,1,1.22431
4.0,1,1.224864
1.0,1,1.225049
5.0,1,1.225262
2.0,1,1.225427
-11.0,1,1.225976
3.0,1,1.226193
10.0,1,1.226371
4.0,1,1.226538
2.0,1,1.227124
5.0,1,1.227313
-10.0,1,1.227479
10.0,1,1.227642
0.0,1,1.228215
2.0,1,1.228404
-10.0,1,1.22858
4.0,1,1.228745
5.0,1,1.229327
5.0,1,1.229517
1.0,1,1.229685
-10.0,1,1.22985
4.0,1,1.230423
0.0,1,1.230611
0.0,1,1.230778
2.0,1,1.230941
5.0,1,1.231527
5.0,1,1.231716
3.0,1,1.231882
4.0,1,1.232046
6.0,1,1.232641
-11.0,1,1.232824
-10.0,1,1.23299
1.0,1,1.233194
4.0,1,1.23375
0.0,1,1.233932
10.0,1,1.23414
1.0,1,1.234315
1.0,1,1.234862
4.0,1,1.235047
0.0,1,1.235257
2.0,1,1.235421
5.0,1,1.235969
-10.0,1,1.236182
1.0,1,1.236355
1.0,1,1.236519
2.0,1,1.237091
1.0,1,1.237283
1.0,1,1.237451
-11.0,1,1.237615
1.0,1,1.238183
5.0,1,1.238369
4.0,1,1.238547
7.0,1,1.238713
-12.0,1,1.239273
3.0,1,1.239468
-10.0,1,1.239635
0.0,1,1.2398
1.0,1,1.240378
10.0,1,1.240568
2.0,1,1.240735
1.0,1,1.240899
-10.0,1,1.241478
2.0,1,1.241663
10.0,1,1.241829
10.0,1,1.241992
2.0,1,1.242596
3.0,1,1.242782
2.0,1,1.242946
-11.0,1,1.243143
7.0,1,1.243696
5.0,1,1.243877
7.0,1,1.244042
1.0,1,1.244252
-8.0,1,1.244815
0.0,1,1.244999
4.0,1,1.245203
4.0,1,1.24538
2.0,1,1.245925
-10.0,1,1.246141
-11.0,1,1.24632
5.0,1,1.246486
2.0,1,1.24703
1.0,1,1.247244
10.0,1,1.247416
-10.0,1,1.247581
7.0,1,1.248146
2.0,1,1.248331
10.0,1,1.248495
2.0,1,1.248657
5.0,1,1.249225
2.0,1,1.24941
-10.0,1,1.249575
4.0,1,1.249737
1.0,1,1.250301
7.0,1,1.250493
1.0,1,1.250662
5.0,1,1.250827
-11.0,1,1.251472
-10.0,1,1.251662
-10.0,1,1.251829
-12.0,1,1.251995
2.0,1,1.252588
0.0,1,1.252782
5.0,1,1.25295
10.0,1,1.25315
3.0,1,1.253709
2.0,1,1.253892
4.0,1,1.254087
5.0,1,1.25427
-11.0,1,1.254821
3.0,1,1.255004
5.0,1,1.255212
6.0,1,1.255383
-10.0,1,1.255929
1.0,1,1.256144
3.0,1,1.25632
0.0,1,1.256485
6.0,1,1.257039
-10.0,1,1.257252
-10.0,1,1.257422
-10.0,1,1.257584
-10.0,1,1.25816
7.0,1,1.258348
1.0,1,1.258515
-10.0,1,1.258678
10.0,1,1.259248
-8.0,1,1.259436
3.0,1,1.259604
5.0,1,1.259768
