#{"t_start": 1753683669.8854523, "env_id": "None"}
r,l,t
10.0,1,0.978852
5.0,1,0.979203
5.0,1,0.97943
3.0,1,0.979623
2.0,1,0.980348
2.0,1,0.980561
4.0,1,0.98075
1.0,1,0.980928
2.0,1,0.981583
-8.0,1,0.981794
4.0,1,0.981979
-10.0,1,0.982174
-10.0,1,0.98278
1.0,1,0.98298
6.0,1,0.983198
5.0,1,0.983383
-10.0,1,0.983979
3.0,1,0.984199
2.0,1,0.984381
0.0,1,0.984554
2.0,1,0.985196
-10.0,1,0.985397
-11.0,1,0.985574
4.0,1,0.985745
6.0,1,0.986367
5.0,1,0.986567
1.0,1,0.986748
7.0,1,0.986921
2.0,1,0.987555
5.0,1,0.987751
-11.0,1,0.987931
5.0,1,0.988127
3.0,1,0.988733
3.0,1,0.988925
1.0,1,0.989125
-10.0,1,0.989304
1.0,1,0.9899
4.0,1,0.990117
4.0,1,0.990297
2.0,1,0.990465
6.0,1,0.991091
5.0,1,0.991288
0.0,1,0.991459
3.0,1,0.991624
0.0,1,0.993098
-11.0,1,0.993388
4.0,1,0.993591
4.0,1,0.993775
2.0,1,0.994414
1.0,1,0.994622
-10.0,1,0.994802
4.0,1,0.994975
1.0,1,0.995579
2.0,1,0.995783
1.0,1,0.995968
4.0,1,0.996176
5.0,1,0.996751
5.0,1,0.996946
-10.0,1,0.997161
-8.0,1,0.997341
10.0,1,0.997902
4.0,1,0.998125
-10.0,1,0.998304
10.0,1,0.998471
7.0,1,0.999024
-10.0,1,0.999242
-12.0,1,0.999419
7.0,1,0.999585
7.0,1,1.000183
5.0,1,1.000378
-10.0,1,1.000548
0.0,1,1.00071
5.0,1,1.001276
5.0,1,1.001464
2.0,1,1.001631
4.0,1,1.001796
1.0,1,1.002369
2.0,1,1.00256
4.0,1,1.002728
1.0,1,1.002891
2.0,1,1.003478
1.0,1,1.003667
-10.0,1,1.003834
5.0,1,1.004017
-10.0,1,1.004619
10.0,1,1.004809
2.0,1,1.004977
2.0,1,1.005166
7.0,1,1.005729
3.0,1,1.005913
5.0,1,1.0061
6.0,1,1.006272
3.0,1,1.00686
2.0,1,1.007071
6.0,1,1.007252
5.0,1,1.007417
0.0,1,1.007984
0.0,1,1.008196
-10.0,1,1.00837
6.0,1,1.008533
3.0,1,1.009125
5.0,1,1.009315
1.0,1,1.009482
0.0,1,1.009653
2.0,1,1.010241
4.0,1,1.010433
5.0,1,1.010602
-11.0,1,1.01077
5.0,1,1.011352
0.0,1,1.011545
5.0,1,1.011713
2.0,1,1.011878
-10.0,1,1.01247
4.0,1,1.012659
1.0,1,1.012834
5.0,1,1.013
-11.0,1,1.013595
4.0,1,1.013784
10.0,1,1.013952
5.0,1,1.014155
5.0,1,1.014727
2.0,1,1.014914
3.0,1,1.015116
2.0,1,1.01529
10.0,1,1.015849
2.0,1,1.016033
3.0,1,1.01624
-12.0,1,1.016411
1.0,1,1.016969
-11.0,1,1.017189
-11.0,1,1.017364
-10.0,1,1.017526
2.0,1,1.018108
4.0,1,1.018299
5.0,1,1.018473
5.0,1,1.018638
5.0,1,1.01922
-10.0,1,1.019409
-11.0,1,1.019576
2.0,1,1.019738
5.0,1,1.020327
1.0,1,1.020515
6.0,1,1.020681
3.0,1,1.020843
