#{"t_start": 1753683632.3801727, "env_id": "None"}
r,l,t
5.0,1,1.05715
2.0,1,1.05776
-11.0,1,1.057952
2.0,1,1.05812
1.0,1,1.058282
2.0,1,1.058897
5.0,1,1.059087
6.0,1,1.05925
1.0,1,1.05944
2.0,1,1.06004
1.0,1,1.060229
3.0,1,1.060421
2.0,1,1.060593
6.0,1,1.061177
5.0,1,1.061387
3.0,1,1.061561
2.0,1,1.061722
4.0,1,1.0623
7.0,1,1.062508
1.0,1,1.062677
2.0,1,1.062837
2.0,1,1.063437
2.0,1,1.063629
5.0,1,1.063796
7.0,1,1.063967
5.0,1,1.064571
1.0,1,1.064765
3.0,1,1.06493
5.0,1,1.065094
7.0,1,1.065717
7.0,1,1.065907
4.0,1,1.066076
-10.0,1,1.06624
1.0,1,1.066855
3.0,1,1.067046
-10.0,1,1.067217
4.0,1,1.067406
5.0,1,1.068012
1.0,1,1.068197
5.0,1,1.068389
3.0,1,1.068562
7.0,1,1.069148
6.0,1,1.069332
-10.0,1,1.06953
-10.0,1,1.06969
7.0,1,1.070272
1.0,1,1.070481
2.0,1,1.070655
5.0,1,1.07082
0.0,1,1.071425
2.0,1,1.071617
1.0,1,1.071784
4.0,1,1.071946
10.0,1,1.07255
3.0,1,1.07274
0.0,1,1.072907
-10.0,1,1.073069
10.0,1,1.073737
6.0,1,1.073936
-10.0,1,1.074105
1.0,1,1.074269
-10.0,1,1.074874
-10.0,1,1.075068
3.0,1,1.075237
4.0,1,1.075427
3.0,1,1.076008
2.0,1,1.076197
1.0,1,1.076387
0.0,1,1.076561
5.0,1,1.077166
2.0,1,1.077441
5.0,1,1.077682
1.0,1,1.077907
2.0,1,1.078545
7.0,1,1.078741
5.0,1,1.078919
-10.0,1,1.079083
2.0,1,1.079687
4.0,1,1.079879
2.0,1,1.080044
4.0,1,1.080205
1.0,1,1.080812
10.0,1,1.081005
2.0,1,1.081172
4.0,1,1.081362
5.0,1,1.081955
1.0,1,1.082143
1.0,1,1.082312
5.0,1,1.082521
-11.0,1,1.083169
5.0,1,1.083388
3.0,1,1.083567
7.0,1,1.083732
1.0,1,1.084302
5.0,1,1.084519
3.0,1,1.08469
5.0,1,1.084853
2.0,1,1.085443
2.0,1,1.085633
2.0,1,1.0858
0.0,1,1.085961
-10.0,1,1.086558
0.0,1,1.08675
3.0,1,1.086923
-10.0,1,1.087085
0.0,1,1.087701
5.0,1,1.087892
3.0,1,1.088057
4.0,1,1.088217
4.0,1,1.088805
0.0,1,1.089001
4.0,1,1.089176
5.0,1,1.089358
3.0,1,1.089946
2.0,1,1.090132
-12.0,1,1.090298
3.0,1,1.090486
2.0,1,1.091059
7.0,1,1.091247
1.0,1,1.091453
2.0,1,1.091623
3.0,1,1.092188
-10.0,1,1.092395
4.0,1,1.092567
2.0,1,1.092733
7.0,1,1.093309
0.0,1,1.093517
5.0,1,1.093696
1.0,1,1.093858
2.0,1,1.094442
4.0,1,1.094628
3.0,1,1.09479
1.0,1,1.094949
5.0,1,1.095535
-11.0,1,1.095726
7.0,1,1.095901
2.0,1,1.096062
5.0,1,1.096651
2.0,1,1.096841
-11.0,1,1.097008
7.0,1,1.097168
-10.0,1,1.097755
1.0,1,1.097942
-11.0,1,1.098112
1.0,1,1.098276
-10.0,1,1.098891
4.0,1,1.099094
7.0,1,1.099265
5.0,1,1.099454
-11.0,1,1.100027
3.0,1,1.100209
2.0,1,1.100397
1.0,1,1.100565
-11.0,1,1.101135
4.0,1,1.101319
